ReferenceImage,IconFile,BaseName,CurrentEnglishName,CurrentPolishName,Category,SubCategory,CorrectEnglishName,CorrectPolishName,Notes
"LeatherandHides","icon_BelaWelny.png","BelaWelny","BelaWelny","BelaWelny","Materials","","","",""
"LeatherandHides","icon_BlachaStalowa.png","BlachaStalowa","BlachaStalowa","BlachaStalowa","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaCienka.png","BlachaStalowaCienka","BlachaStalowaCienka","BlachaStalowaCienka","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaDuza.png","BlachaStalowaDuza","BlachaStalowaDuza","BlachaStalowaDuza","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaDuzaCienka.png","BlachaStalowaDuzaCienka","BlachaStalowaDuzaCienka","BlachaStalowaDuzaCienka","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaDuzaGruba.png","BlachaStalowaDuzaGruba","BlachaStalowaDuzaGruba","BlachaStalowaDuzaGruba","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaGruba.png","BlachaStalowaGruba","BlachaStalowaGruba","BlachaStalowaGruba","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaMala.png","BlachaStalowaMala","BlachaStalowaMala","BlachaStalowaMala","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaMalaCienka.png","BlachaStalowaMalaCienka","BlachaStalowaMalaCienka","BlachaStalowaMalaCienka","Materials","","","",""
"LeatherandHides","icon_BlachaStalowaMalaGruba.png","BlachaStalowaMalaGruba","BlachaStalowaMalaGruba","BlachaStalowaMalaGruba","Materials","","","",""
"LeatherandHides","icon_BrownLinenShirt.png","BrownLinenShirt","BrownLinenShirt","BrownLinenShirt","Materials","","","",""
"LeatherandHides","icon_building_stone2.png","building_stone2","building stone2","building_stone2","Materials","","","",""
"LeatherandHides","icon_building_wood2.png","building_wood2","building wood2","building_wood2","Materials","","","",""
"LeatherandHides","icon_EliteTannedLeatherscraps.png","EliteTannedLeatherscraps","EliteTannedLeatherscraps","EliteTannedLeatherscraps","Materials","","","",""
"LeatherandHides","icon_GreenWoolenTights.png","GreenWoolenTights","GreenWoolenTights","GreenWoolenTights","Materials","","","",""
"LeatherandHides","icon_HarmonyTabardRingMail.png","HarmonyTabardRingMail","HarmonyTabardRingMail","HarmonyTabardRingMail","Materials","","","",""
"LeatherandHides","icon_HerbalistsLinenShirt.png","HerbalistsLinenShirt","HerbalistsLinenShirt","HerbalistsLinenShirt","Materials","","","",""
"LeatherandHides","icon_KnightTabardRingMail.png","KnightTabardRingMail","KnightTabardRingMail","KnightTabardRingMail","Materials","","","",""
"LeatherandHides","icon_Leatherscraps.png","Leatherscraps","Leatherscraps","Leatherscraps","Materials","","","",""
"LeatherandHides","icon_LinenTabardRingMail.png","LinenTabardRingMail","LinenTabardRingMail","LinenTabardRingMail","Materials","","","",""
"LeatherandHides","icon_lore.png","lore","lore","lore","Materials","","","",""
"LeatherandHides","icon_MakaWorek.png","MakaWorek","MakaWorek","MakaWorek","Materials","","","",""
"LeatherandHides","icon_Ogorek.png","Ogorek","Ogorek","Ogorek","Materials","","","",""
"LeatherandHides","icon_PeasantLinenShirt.png","PeasantLinenShirt","PeasantLinenShirt","PeasantLinenShirt","Materials","","","",""
"LeatherandHides","icon_QuacksLinenShirt.png","QuacksLinenShirt","QuacksLinenShirt","QuacksLinenShirt","Materials","","","",""
"LeatherandHides","icon_RedWoolenTights.png","RedWoolenTights","RedWoolenTights","RedWoolenTights","Materials","","","",""
"LeatherandHides","icon_SprzaczkaMetalowa.png","SprzaczkaMetalowa","SprzaczkaMetalowa","SprzaczkaMetalowa","Materials","","","",""
"LeatherandHides","icon_ThickLeatherscraps.png","ThickLeatherscraps","ThickLeatherscraps","ThickLeatherscraps","Materials","","","",""
"LeatherandHides","icon_UpArm_M_tabard_bryg_kolczy_rekaw_AB.png","UpArm_M_tabard_bryg_kolczy_rekaw_AB","UpArm M tabard bryg kolczy rekaw AB","UpArm_M_tabard_bryg_kolczy_rekaw_AB","Materials","","","",""
"LeatherandHides","icon_UpArm_M_tabard_rekaw_bryg_black_short_AB.png","UpArm_M_tabard_rekaw_bryg_black_short_AB","UpArm M tabard rekaw bryg black short AB","UpArm_M_tabard_rekaw_bryg_black_short_AB","Materials","","","",""
"LeatherandHides","icon_UpArm_M_tabard_rekaw_bryg_yel_short_AB.png","UpArm_M_tabard_rekaw_bryg_yel_short_AB","UpArm M tabard rekaw bryg yel short AB","UpArm_M_tabard_rekaw_bryg_yel_short_AB","Materials","","","",""
"LeatherandHides","icon_WhiteLinenShirt.png","WhiteLinenShirt","WhiteLinenShirt","WhiteLinenShirt","Materials","","","",""
"LeatherandHides","icon_WoolenTabardRingMail.png","WoolenTabardRingMail","WoolenTabardRingMail","WoolenTabardRingMail","Materials","","","",""
"LeatherandHides","icon_Worek1.png","Worek1","Worek1","Worek1","Materials","","","",""
"LeatherandHides","icon_Worek2.png","Worek2","Worek2","Worek2","Materials","","","",""
"LeatherandHides","icon_YellowLinenShirt.png","YellowLinenShirt","YellowLinenShirt","YellowLinenShirt","Materials","","","",""
"LeatherandHides","icon_YellowWoolenTights.png","YellowWoolenTights","YellowWoolenTights","YellowWoolenTights","Materials","","","",""
"LegArmour_Shoes","icon_Ailette.png","Ailette","Ailette","Ailette","Armor","Shoulders","","",""
"LegArmour_Shoes","icon_BeggarsBoots.png","BeggarsBoots","BeggarsBoots","BeggarsBoots","Armor","Feet","","",""
"LegArmour_Shoes","icon_BeggarsHood.png","BeggarsHood","BeggarsHood","BeggarsHood","Armor","Head","","",""
"LegArmour_Shoes","icon_BrownLinenBattleLeggings.png","BrownLinenBattleLeggings","BrownLinenBattleLeggings","BrownLinenBattleLeggings","Armor","Feet","","",""
"LegArmour_Shoes","icon_BrownLinenLeggings.png","BrownLinenLeggings","BrownLinenLeggings","BrownLinenLeggings","Armor","Feet","","",""
"LegArmour_Shoes","icon_BrownLinenVoyagersHood.png","BrownLinenVoyagersHood","BrownLinenVoyagersHood","BrownLinenVoyagersHood","Armor","Head","","",""
"LegArmour_Shoes","icon_CattleSkinPants.png","CattleSkinPants","CattleSkinPants","CattleSkinPants","Armor","Feet","","",""
"LegArmour_Shoes","icon_ChainmailCoif.png","ChainmailCoif","ChainmailCoif","ChainmailCoif","Armor","Head","","",""
"LegArmour_Shoes","icon_ChainmailLeggingswithBoots.png","ChainmailLeggingswithBoots","ChainmailLeggingswithBoots","ChainmailLeggingswithBoots","Armor","Feet","","",""
"LegArmour_Shoes","icon_ChainmailLegguards.png","ChainmailLegguards","ChainmailLegguards","ChainmailLegguards","Armor","Feet","","",""
"LegArmour_Shoes","icon_CoifedCeleta.png","CoifedCeleta","CoifedCeleta","CoifedCeleta","Armor","Head","","",""
"LegArmour_Shoes","icon_CoifedDornwallishSkullcap.png","CoifedDornwallishSkullcap","CoifedDornwallishSkullcap","CoifedDornwallishSkullcap","Armor","Head","","",""
"LegArmour_Shoes","icon_CoifedEthereanCoveredHelmet.png","CoifedEthereanCoveredHelmet","CoifedEthereanCoveredHelmet","CoifedEthereanCoveredHelmet","Armor","Head","","",""
"LegArmour_Shoes","icon_CoifedEthereanHelmet.png","CoifedEthereanHelmet","CoifedEthereanHelmet","CoifedEthereanHelmet","Armor","Head","","",""
"LegArmour_Shoes","icon_CoifedEthereanNasalHelmet.png","CoifedEthereanNasalHelmet","CoifedEthereanNasalHelmet","CoifedEthereanNasalHelmet","Armor","Head","","",""
"LegArmour_Shoes","icon_CoifedGreatHelm.png","CoifedGreatHelm","CoifedGreatHelm","CoifedGreatHelm","Armor","Head","","",""
"LegArmour_Shoes","icon_CoifedHoundskull.png","CoifedHoundskull","CoifedHoundskull","CoifedHoundskull","Armor","Head","","",""
"LegArmour_Shoes","icon_CoifedSallet.png","CoifedSallet","CoifedSallet","CoifedSallet","Armor","Head","","",""
"LegArmour_Shoes","icon_CottonBattlePants.png","CottonBattlePants","CottonBattlePants","CottonBattlePants","Armor","Feet","","",""
"LegArmour_Shoes","icon_DirtyWhiteLinenCap.png","DirtyWhiteLinenCap","DirtyWhiteLinenCap","DirtyWhiteLinenCap","Armor","Head","","",""
"LegArmour_Shoes","icon_DornwallishSkullcap.png","DornwallishSkullcap","DornwallishSkullcap","DornwallishSkullcap","Armor","Head","","",""
"LegArmour_Shoes","icon_FullPlateArmor.png","FullPlateArmor","FullPlateArmor","FullPlateArmor","Armor","Chest","","",""
